date,imports_animal_vegetable_oils,imports_beverages_and_tobacco,imports_chemicals,imports_crude_materials,imports_food_and_live_animals,imports_machinery_and_transport,imports_manufactured_goods,imports_mineral_fuels,imports_miscellaneous_manufactures,imports_other,imports_animal_vegetable_oils_yoy,imports_beverages_and_tobacco_yoy,imports_chemicals_yoy,imports_crude_materials_yoy,imports_food_and_live_animals_yoy,imports_machinery_and_transport_yoy,imports_manufactured_goods_yoy,imports_mineral_fuels_yoy,imports_miscellaneous_manufactures_yoy,imports_other_yoy
2021-01-01,60436056.0,238999200.0,2470039025.0,426670073.0,1753387173.0,5421282180.0,1793948512.0,933407254.0,1643262129.0,219739160.0,,-34.358387758605815,,167.09645878934342,-21.48691177580443,,,,,
2021-02-01,44402882.0,262148124.0,2463949781.0,571286392.0,1901149291.0,6402014419.0,2089064977.0,573192652.0,1835256697.0,75353686.0,-33.15738608932607,-15.185814683124544,-22.29315979166826,31.23742412065593,-15.662918568597984,-13.58482725987108,-9.09835537692384,0.43290941066900235,-31.27152280442734,-44.04356888031534
2021-03-01,73119868.0,372238189.0,3090598170.0,753272198.0,2169882519.0,8163077334.0,2454483537.0,476006674.0,2283615126.0,161787950.0,11.16609998256337,27.6753215457084,10.844398140617661,39.214152953665064,-0.2796818766902742,-1.3430792333781305,9.003116698680568,14.105642148844243,-9.04516201725649,69.89504240845692
2021-04-01,65143415.0,383857771.0,2774269766.0,592342891.0,1978883136.0,6524139807.0,2293397676.0,413695583.0,2116702184.0,106122951.0,-17.341485483684938,5.734849294764355,-22.31128674816786,14.943635299802471,-22.010848894524337,-22.140192445745477,-5.55880381603534,-16.708939529070012,-17.299406017027085,-62.32346806056207
2021-05-01,61284788.0,365705515.0,2936339537.0,579664374.0,2013265772.0,6027375318.0,2307494691.0,496269721.0,2087171426.0,237154044.0,-27.681821286382302,6.788176736211593,-2.6467439989456,50.45867005158657,-13.40792467879992,77.5849647280459,49.12156757696975,105.28682901020932,47.96310766445298,692.3459649246133
2021-06-01,80847019.0,442684858.0,3371017690.0,589287243.0,2187907194.0,7145474030.0,2547205460.0,599927932.0,2258662142.0,134306990.0,23.17586012715296,24.7480871092006,17.199375163936594,60.27785906607184,-4.855416848645833,85.81448602692663,73.22532106671827,164.4641462847914,40.71971697815662,67.63160908296366
2021-07-01,81795993.0,438446984.0,3512033451.0,643454592.0,2112247315.0,6585438481.0,2476946217.0,751876312.0,2225494792.0,284387384.0,8.686782103087287,3.8423597667258003,16.359946073456875,37.07097068388667,-11.155848722667095,4.186930047079507,8.576260940526481,96.71988160747733,0.8133659061967613,10.578656874759208
2021-08-01,91993867.0,423618875.0,3186290254.0,629432966.0,1997921135.0,5249150114.0,2247308833.0,775721042.0,2104048578.0,159853714.0,-2.115079821855448,-11.44623462105885,3.4329129458210206,28.813505786960867,-13.35267219590005,-26.577389764375013,1.8681395635422593,136.43920031219977,-16.435778851559057,2.966443593777379
2021-09-01,81537445.0,436081885.0,3609063642.0,663792014.0,2217739434.0,7103923444.0,2574344956.0,1001947004.0,2446046316.0,195497193.0,8.486770618983265,8.948358331620309,25.624397267407396,40.485958246842316,1.0208009368106286,24.923344796611623,34.21919548869627,139.2910199167363,1.7520830741489801,-29.060699262319744
2021-10-01,96179852.0,499814241.0,3225480869.0,552091870.0,2162831696.0,6914524241.0,2391710767.0,1042874773.0,2335029215.0,143300746.0,24.93165573251044,10.124756579279248,2.9509771825585673,4.440923542331365,-12.74501230691013,-20.73598417609802,-1.0118684571618242,152.4797971269341,-21.86615007714403,-62.191780616629956
