date,year,year_month,era,category,category_disruption_score,import_dependency_pct
2020-12-01,2020,2020-12,COVID Period,Chemicals & Pharma,43.0,65.0
2020-12-01,2020,2020-12,COVID Period,Energy & Fuels,23.84,71.0
2020-12-01,2020,2020-12,COVID Period,Food & Drink,18.2,82.0
2020-12-01,2020,2020-12,COVID Period,Clothing,21.72,91.0
2020-12-01,2020,2020-12,COVID Period,Machinery & Industrial,45.6,78.0
2020-12-01,2020,2020-12,COVID Period,Chemicals & Pharma,43.0,65.0
2020-12-01,2020,2020-12,COVID Period,Energy & Fuels,23.84,71.0
2021-01-01,2021,2021-01,Post-Brexit / Recovery,Food & Drink,67.76,82.0
2021-01-01,2021,2021-01,Post-Brexit / Recovery,Clothing,57.29,91.0
2021-01-01,2021,2021-01,Post-Brexit / Recovery,Machinery & Industrial,45.6,78.0
2021-01-01,2021,2021-01,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-01-01,2021,2021-01,Post-Brexit / Recovery,Energy & Fuels,22.66,71.0
2021-01-01,2021,2021-01,Post-Brexit / Recovery,Food & Drink,30.86,82.0
2021-01-01,2021,2021-01,Post-Brexit / Recovery,Clothing,16.34,91.0
2021-01-01,2021,2021-01,Post-Brexit / Recovery,Machinery & Industrial,45.6,78.0
2021-01-01,2021,2021-01,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-01-01,2021,2021-01,Post-Brexit / Recovery,Energy & Fuels,22.66,71.0
2021-02-01,2021,2021-02,Post-Brexit / Recovery,Food & Drink,30.03,82.0
2021-02-01,2021,2021-02,Post-Brexit / Recovery,Clothing,24.53,91.0
2021-02-01,2021,2021-02,Post-Brexit / Recovery,Machinery & Industrial,16.52,78.0
2021-02-01,2021,2021-02,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-02-01,2021,2021-02,Post-Brexit / Recovery,Energy & Fuels,22.32,71.0
2021-02-01,2021,2021-02,Post-Brexit / Recovery,Food & Drink,66.93,82.0
2021-02-01,2021,2021-02,Post-Brexit / Recovery,Clothing,65.48,91.0
2021-02-01,2021,2021-02,Post-Brexit / Recovery,Machinery & Industrial,16.52,78.0
2021-02-01,2021,2021-02,Post-Brexit / Recovery,Chemicals & Pharma,43.0,65.0
2021-02-01,2021,2021-02,Post-Brexit / Recovery,Energy & Fuels,22.32,71.0
2021-03-01,2021,2021-03,Post-Brexit / Recovery,Food & Drink,64.48,82.0
